fragmento_id,categoria_norm,tipo_utilidad,confiabilidad,calidad_texto,dominio,titulo_pagina,contenido,url
GC-0001,biologia,diagnostico,alta,100,cienciaspecuarias.inifap.gob.mx,Documento PDF,"Plant extracts are promising alternative approac metabolites with different action mechanisms decreased growth, development, and reproducti effects to non-target species(6). Extracts fro Asteraceae, Piperaceae, Verbenaceae and Poace Secondary metabolites with an acaricide effect extracts from Cunila angustifolia, Acacia penn Tagetes minuta, Piper amalago, Lippia graveole stilbenes, coumarins, acids, alcohols, sulfide c oils(7,12). Few studies have been done to date on the eff example, one study assessed the effect of a L 66.79 % efficacy versus larvae, but none agains produced by L. leucocephala (Lam.) de Wit wer (56.3 % efficacy)(13). Three Leucaena genotypes are currently availa L. leucocephala (Cunningham); and L. leucocep forage shrub plants in tropical silvopastoral arthropods. The present study objective was to extracts from these three Leucaena genotypes a Materials Experim The study was done at the Maya Zone Techno Maya - ITZM), Carretera Chetumal–Escárceg Othón P. Blanco, in the state of Quintana Roo maximum temperature in the area is 32.1 °C, an averages 1,180 mm, and average relativ ( Rev Mex Cienc Pecu 2019;10(3):692-704 s to arthropod control. They produce secondary h as inhibition of feeding and chitin synthesis; and behavioral alterations; this, without adverse plants in the families Lamiaceae, Fabaceae, exhibit the greatest efficacy in tick control(7-11). microplus have been identified in plant la, Piscidia piscipula, Leucaena leucocephala, and Milinis minutiflora. These include terpenes, pounds, tannins, and aldehydes from essential of Leucaena spp. extracts in tick control. For ucocephala extract on R. microplus and found ults(12). In contrast, a study of defensive proteins ound to have an effect against adult R. microplus in southeast Mexico: L. leucocephala (Native); la x L. These are widely used as tems, and may also contribute to controlling aluate in vitro the acaricide activity of ethanol nst R. microplus adults and larvae. d methods ntal site ical Institute (Instituto Tecnológico de la Zona Km. 21.5, Ejido Juan Sarabia, Municipality of Mexico (18°30”58’ N; 88°29”19’ W). Average he average minimum is 21.7 °C. Annual rainfall humidity (RH) ranges from 76 to 82%",https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/download/4822/4109/13997
GC-0002,biologia,diagnostico,media-baja,100,repository.cimmyt.org,Documento PDF,"gusano cogollero in Africa: A Guide for Integrated Pest Management Scientific Name & Family Desc Larval P Campoletis sonorensis (Cameron) • The insect wingspan is ab (Hymenoptera: Ichneumonidae)e Third-instar larvae are the stage for the parasitoid. T parasitoid is around 22.9 • The relation of consumpt caterpillar and a parasitiz 14.4:1. Therefore, by para caterpillars, in addition to cause death of the host in greatly reduces leaf cons caterpillars. • The skin of the dead gusano cogollero the cocoon of the parasito this species. Cotesia icipe (Fernández-Triana & • Known to parasitize seve Fiaboe)h Spodoptera in Africa, incl • Under laboratory conditio has been observed on FA Habrobracon hebetor (Say) • A small wasp, which has (Hymenoptera: Braconidae)i pearl millet head miner, a under laboratory conditio • These parasitoids are rea ICRISAT and INRA in Nige on Corcyra cephalonica la pearl millet fields in Niger • In Africa, this parasitoid is Burkina Faso, Egypt, Liby Senegal, South Africa, Zim (CABI). Winthemia trinitatis (Thompson) • The female places its egg (Diptera: Tachinidae)j and sixth-instar gusano cogollero nea it impossible to be remov parasitoid penetrate the b pupation, and inflict up to • While acting on more dev have already caused dam tachinids contribute to the pest generations. 68 ion Photograph sitoids 15 mm. t suitable tal cycle of the tween a healthy terpillar is Campoletis flavicincta couple (upper left); ng small-sized female parasitizing gusano cogollero larva (upper right). g efficient to the parasitoid on by rpillar lies next to haracteristic of C. flavicincta pupa and remains of a parasitized gusano cogollero larva (bottom). 50% parasitism Cotesia icipe, seeking gusano cogollero larva (Source: Faris Samira Mohamed, ICIPE) used against tacks gusano cogollero larvae the laboratory at ISRA in Senegal and released in Senegal. d in Algeria, dagascar, Niger, Habrobracon hebetor parasitizing we, and Mauritius on gusano cogollero larvae he body of a fifth- head, making he larvae of the of the larva, delay parasitism. Tachinid fly Winthemia trinitatis laying egg d instars that on gusano cogollero larva (left) and eggs on the host o the plant, these abdomen (right) uction of future",https://repository.cimmyt.org/server/api/core/bitstreams/5f933e59-ad3a-4643-a91e-377f9d913370/content
GC-0003,biologia,diagnostico,media-baja,100,openscholar.uga.edu,Documento PDF,"All the analyses were conducted using S if the survival of Spodoptera frugiperda was affected wh number of live Spodoptera frugiperda larvae at 2, 6, 10 a way analysis of variance (ANOVA) using the g SAS after log-transformation (ln[x +1]). After certain bermudagrass line treatments. The rate bermudagrass lines was determined by calculat width, and weight between 8 and 6 d, 10 and 8 were log-transformed (ln[x +1]), and one-way model procedure (PROC GLM) in SAS. One-w head capsule width, and weight at 6 d to determ frugiperda larval feeding. Similarly, the pupal emergence, were subjected to one-way ANOVA (PROC GLM) in SAS after log-transformation Tukey-Kramer least square method (α = 0.05). were calculated using the PROC MEANS proc larval parameters, such as larval length, head c introduction, and pupal plus adult parameters, s width and weight as well as day of adult emerg procedure in SAS. The mean larval length, hea pupation and adult emergence data were calcul length, thorax width and weight were calculate treatment and replication across the observation S software (SAS Institute 2012). To determine exposed to various bermudagrass lines, the 14 d after introduction was subjected to one- eral linear model procedure (PROC GLM) in d, Spodoptera frugiperda larvae started pupating in arval development after consuming various the change in larval length, head capsule and 12 and 10 d post-introduction. The data OVA was performed using the general linear ANOVA was also performed on larval length, the effects of bermudagrass lines on S. adult data, such as day of pupation and adult sing the general linear model procedure [x +1]). The means were separated using the e means and standard errors of the variables re in SAS. Pearson’s correlations between ule width and weight at 6, 8 and 10 d post- h as day of pupation, pupal length, thorax e, were performed using the PROC CORR apsule width and weight as well as the day of d for the correlation analysis. The mean pupal ter averaging the pupal parameters by tes.",https://openscholar.uga.edu/record/6054/files/SinghGurjitMS.pdf
GC-0004,biologia,diagnostico,alta,100,openknowledge.fao.org,Documento PDF,"Descriptions o Biologists. Consultado 12 diciembre 2015. Chinche de las semillas Marcos Juárez INTA. Proyecto Regional Actualización Técnica N° 3. Control integra Disponible en: sudeste-de-cordoba Aristegui, B. Cladosporium herbarum micología. A host-parasite catalo State Department of Agriculture. Miscellane Artigas, J. Entomología económica, i veterinario. Universidad de Concepción. Copita económica en el cultivo de raps (Lepidopte de Concepción, 46:199 – 216 Avalos, F. Identificación y dinámica p melanocampta. Tesis de Ingeniero Agróno Agronomía, Universidad Mayor de San And Aveskamp, M.M.; Gruyter, D. systematics of Phoma, a complex genus of ma Baldin, E.L.; Lourenção, A.L. & SchlickSouza (Walker) (Lepidoptera: Noctuidae) in commo Bragantia, , pp. Barboza, J.; Ames, T. R de Chenopodium quinoa causadas por Rhi 2015. Estados Unidos rechaza env Diario La República. quinua-por-tener-pesticida Barrionuevo, M.J.; Murúa, M.G.; Goane, L.; Me Rachiplusia nu (Guenée) and Chrysodeixis Noctuidae) on artificial diet. Florida Entomo Bensch, K.; Groenewald, J.; Dijksterhuis, M.; H.; Shin, F. Species a cladosporioides complex (Davidellaceae, Ca 158 lant Viruses. Association of Applied onible en http:// Nysius simulans). Soja Actualización 2006. EEA oducción Agrícola Sustentable. Informe de de plagas en soja en el sudeste de Córdoba. s/control-integrado-de-plagas-en-soja-en-el- rsoon) Link: Fries. Revista Iberoamericana de f North American Tachinidae (Diptera). United s publications. ectos de interés agrícola, forestal, médico y epción, Chile.1126 p. consueta (Walker), biología e importancia Noctuidae). Bolletín de la Sociedad de Biología acional de la polilla de la quinua Eurysacca no publicado. La Paz, Bolivia, Facultad de 121 p. Biology and recent developments in the quarantine significance. Fungal Diversity, 31, 1-18. Outbreaks of Chrysodeixis includens bean and castor bean in São Paulo State, Brazil. ucción de la germinación y muerte de plantas tonia y Fusarium. Consultado el 22 diciembre bro14/cap2.9.htm de 200 toneladas de quinua por tener pesticida. nidos-rechaza-envio-de-200-toneladas-de- her, R. Life table studies of seudoplusia) includens (Walker) (Lepidoptera: st. rink-Willemse, M.; Andersen, B.; Summerell, ecological diversity within the Cladosporium odiales). ln Studies in Mycology 67:1-94.",https://openknowledge.fao.org/server/api/core/bitstreams/518339ec-6cb9-4a3c-970f-82ca6d32328d/content
GC-0005,biologia,diagnostico,media-baja,100,repositorio.unal.edu.co,Documento PDF,"Introducción Hipótesis de investig Williams et al. (2007) plantearon un mod infección y dispersión de baculovirus en CI mientras se alimentan de follaje conta desarrolla una enfermedad letal y liberan un hospedero susceptible. Los CI en las las lluvias o viento, desde donde pueden bióticos o abióticos. Alternativamente, lo siguen con su desarrollo, pupan y eme Estos adultos migran y dispersan el bacu a su descendencia. Esta transmisió generaciones hasta que algún elicitor o f en enfermedades letales que generen u Mi tesis es que el sistema tomate-GCT- al. En este sistema, las infeccione por parte del GCT que reduce los r supervivencia (efectos subletales). El e GCT reduce su respuesta inmune y su c baja densidad reducirá la probabilidad de infecciones encubiertas y la trasmisión v Hipótesis 1: Las infecciones encub verticalmente y reducen la tasa de crecim Hipótesis 2: El virus VG013 se transmite de excreciones de individuos con infeccio de alimentación. Hipótesis 3: La letalidad del aislamiento V del GCT por unidad de área. 11 ción o teórico de las rutas de transmisión, modo de ambiente. Luego de que las larvas ingieren los nado, una porción de los individuos infectados en la planta donde pueden ser transmitidos a antas son transportados al suelo por acción de r trasladados de vuelta a la planta por factores nsectos que consumen los CI pero sobreviven, n como adultos con infecciones encubiertas. irus antes de ovipositar y transmitir la infección vertical se puede sostener durante varias or de estrés convierta a la infección encubierta uevo ciclo de transmisión horizontal. 013 sigue el modelo planteado por Williams et ncubiertas requieren de una respuesta inmune rsos disponibles para la reproducción y la és asociado al incremento en la densidad del cidad para combatir la infección. Además, una asmisión horizontal, por lo que se favorecen las cal. En este sentido, las hipótesis son: as del aislamiento VG013 se transmiten nto de las poblaciones del GCT. ndividuos sanos del GCT a través de la ingesta s encubiertas que comparten el mismo sustrato 013 se incrementa con la cantidad de individuos",https://repositorio.unal.edu.co/bitstreams/d29351ae-5570-4b5f-9901-23d96a7bf889/download
GC-0006,biologia,diagnostico,media-baja,100,openscholar.uga.edu,Documento PDF,"The data showed that the survival of S. after 6 d post-introduction. Although it is not e study elicited high Spodoptera frugiperda larval mortalit In the current study, only two nutrients were ap Previously, increased survival of Spodoptera frugiperda when all the macronutrients were applied at a r Braman et al. (2000), bermudagrass was fertiliz studies whereas 460.5 Kg/ha of 13:13:13 NPK In another study, the survival and development treated with all three macronutrients N, P, and (Leuck 1972). These studies suggest that the lo the current study could be related to the absenc fertilizer application on bermudagrass. Another used in the current study, which can minimize tissue. A principal constituent of sand is silica ( response to herbivorous insects through a myri 2009). Elevated levels of Si in the plant tissues epidermal cells leading to reduced digestibility 1995). In other studies, reduced consumption w Si, causing high mortality rates, reduced larval Pathak 1967, Horng and Chu 1990, Chu and H content in the grass tissues could be another fac in the current study. giperda larvae was reduced to less than one tly clear why the bermudagrass in the current his could be related to some possible reasons. ed to bermudagrass in varied ratios. vae was observed on ‘TifEagle’ bermudagrass lar interval (Braman et al. In with 250 mg/L of 20:20:20 NPK in laboratory s applied in a field study (Braman et al. frugiperda were enhanced on millet plants han the application of one or two nutrients survival of Spodoptera frugiperda larvae observed in f all three macronutrients and low levels of N ason that could be related to the sand medium availability of other essential nutrients in the , which can alter the plant’s resistance of direct and indirect pathways (Reynolds et al. rease the hardness and abrasiveness of insect feeding on them (Panda and Kush noted on the plant tissues with high levels of wth, and reduced adult fecundity (Djamin and g 1991, Salim and Saxena 1992). Thus, high Si causing high mortality of S",https://openscholar.uga.edu/record/6054/files/SinghGurjitMS.pdf
GC-0007,biologia,diagnostico,media-baja,100,openscholar.uga.edu,Documento PDF,"diseases and insect pests in many agro-ecosyste shown to improve its tolerance to various abiot (Tiwari 2002). Similarly, resistance against ins physiology and factors influencing plant’s phys levels (Altieri and Nicholls 2003). Studies also the effectiveness of applied nitrogen (N) especi uptake in ‘Tifton 85’ bermudagrass (Haby et al In Georgia, available soil K is highly pr (Mikkelsen 2007). Bermudagrass is highly resp considerable amount of K fertilizer for root and considerable amounts of nutrients from the soil bermudagrass hay, around 136 Kg of N and 11 (Lee et al. Similarly, it was reported tha under bermudagrass production (Nelson et al. 1 critical as it improves plant health with a better by disease and high salt content (Wang et al. 20 growth benefits relative to N, turfgrass manage and Dickens 1996). Thus, the University of Ge rate of N in the fall season, to combat disease p in plant tissue can help reduce Spodoptera frugiperda pe levels influence the ability of turfgrass to resist Previously, Leuck et al. (1974) showed that fol frugiperda larvae; however, the effects on surv. The K fertilizer application in rice has been nd biotic stresses, including insect pests pests and diseases is directly related to plant ogy may affect its resistance or tolerance monstrated that the K fertilizer inputs influence y, the yield response related to increasing in N 007). to leaching and quickly become deficient sive to N fertilizers but also requires a oot growth. Bermudagrass consumes or the production of every six tons of g of K nutrients are removed from the soil depletes from 160 to 50 ppm in three years 3). Supplementing the soil with K fertilizer is ot system and helps to withstand stress induced ). Because K does not directly yield plant re reluctant to regularly supplement K (Miller ia recommends the application of K, twice the lems. However, it is not clear if high K levels ncidence. Little is known on how plant nutrient rugiperda feeding in bermudagrass. application of K could repel S. and development were not well documented.",https://openscholar.uga.edu/record/6054/files/SinghGurjitMS.pdf
GC-0008,biologia,diagnostico,media-baja,100,openscholar.uga.edu,Documento PDF,"Tukey-Kramer test were further ranked from 1 least resistant to S. Larval survival At 2 d post-introduction, the survival of significantly lower than that in the ‘12-TG-101 ‘Frost 1’ treatments (F = 2.7, P < 0.001; F 15, 325 lower number of larvae survived in ‘Zeon’ than = 7.2, P < 0.001). At 10 d post-introduction, 325 treatment was not significantly different from t although larval survival in ‘Zeon’ was significa (F = 6.2, P < 0.001; 1). At 14 d pos 15, 325 in ‘Zeon’ was significantly lower than that in th 483’ (F = 8.1, P < 0.001). 15, 325 Larval development At 6 d post-introduction, the length of t ‘Zeon’ than in the rest of the treatments (F 15, 26 was not significantly different between ‘TifTuf 1032’, ‘11-T-483’, ‘11-T-483’, ‘97-45’, ‘13-T- and ‘11-T-56’. Similarly, there was no significa between ‘TifTuf’ and the following treatments: 1’, and ‘11-T-56’ (F = 11.4, P < 0.001; Fi 15, 264 lower in ‘Zeon’ than in the rest of the treatmen 16, where 1 is the most resistant and 16 is the esults frugiperda larvae in the ‘Zeon’ treatment was 11-T-483, ‘KBUF-UF-1326’, ‘T-789’ and 3.1). At 6 d post-introduction, a significantly the rest of the treatments except ‘T-822’ (F 15, number of larvae that survived in the ‘Zeon’ in the ‘T-822’ and ‘11-T-483’ treatments, y lower than that in the rest of the treatments troduction, the number of larvae that survived est of the treatments except ‘T-822’ and ‘11-T- Spodoptera frugiperda larvae was significantly lower in 9.4, P < 0.001; 2A). The larval length nd the following treatments: ‘12-T-192’, ‘13-T- 7’, ‘11-T-510’, ‘T-789’, ‘Frost 1’, ‘09-T-31’ difference in the larval head capsule width 3-T-1032’, ‘Zeon’, ‘11-T-510’, ‘T-789’, ‘Frost .2B). The larval weight was significantly xcept for ‘13-T-1032’; however, the larval",https://openscholar.uga.edu/record/6054/files/SinghGurjitMS.pdf
GC-0009,biologia,diagnostico,media-baja,100,repositoriotec.tec.ac.cr,Documento PDF,"considerada para evitar la proliferac u otros micoorganismos, un rango op La dieta del insecto. La dieta arti proceso de producción de OBs, ya q insecto (Murúa et al., 2003). Esta proteínas, lípidos y esteroles, carb algunos de estos compuestos pueden la misma (Claus y de Cap, 2001 utilizadas para la inoculación viral c que causan estrés a las larvas y logra 2.2.1.2. Producción in vitro El fundamento de este proceso de pr constituyen el sustrato sobre el cual s de Cap, 2001). Un primer req es la selección de una línea celular s a cabo eficientemente las etapas d elevados rendimientos volumétricos vitro de los baculovirus requiere de en suspensión agitada. Un ejemplo e cual parece exhibir una mayor susce producción viral para la replicación Cap, 2001). En la , se repre un cultivo celular primario de dif Posterior a la escogencia del tejido individuales resultantes se coloquen posteriormente inoculado en el cu (Román, 1998) ( ). 20 de contaminantes como bacterias, hongos mo de este factor oscila entre un 50 y 70%. al es un factor de importancia durante el se relaciona con el incremento de peso del dietas incorporan básicamente fuentes de dratos, vitaminas y sales. No obstante, r omitidos con el fin de reducir el costo de Román (1998), menciona que las dietas cen mayoritariamente de vitaminas, puesto ue estas sean más susceptibles al virus. cción se basa en que las células en cultivo eva a cabo la multiplicación viral (Claus y to para el desarrollo de un cultivo celular, eptible a la infección viral, capaz de llevar ciclo de replicación viral y de producir OBs. Además, el proceso de producción in línea celular que logre soportar el cultivo a línea celular homóloga UFL-AG-286, la bilidad a la infección y mayores niveles de AgMNPV (Gioria et al., 2006; Claus y de a esquemáticamente el establecimiento de ntes tejidos de insectos de Lepidoptera. ste se macera de manera que las células un medio de cultivo, para que el virus sea o celular, dando inicio a su replicación",https://repositoriotec.tec.ac.cr/bitstream/handle/2238/2911/Informe_Final.pdf?sequence=1&isAllowed=y
GC-0010,biologia,diagnostico,alta,100,openknowledge.fao.org,Documento PDF,"Pesticides labelled with red and yellow shoul be ensured. Hazard pictograms – Visuals warning about s the environment. Pictograms commonly-used on pesticide-labe and Labelling of Chemicals indicate: Chronic Health Hazard Environment (Non-Mandatory) There is a common misconception among far more toxic, the better”). However, important fa the right product for the pest, the time and m importantly the stage of the target pest (for young larvae). A.3.7.5 Avoid the use of highly hazardous pesticides The use of highly hazardous pesticides (HHP several African countries. Under the conditio concerns for human health and the environme It should be noted that: X FAO has been mandated by the Council in reducing risks posed by highly hazardous p X The International Code of Conduct on P Prohibition of the importation, distribution, considered if, based on risk assessment, risk mi to ensure that the product can be handled wi X The fourth session of the International Con for concerted action to address highly haza X FAO and WHO have issued the Guidelines on the identification of highly hazardous pesti ways be avoided, unless proper conditions of use can ific high hazard (toxicity) levels to human health and nder the Globally Harmonized System of Classification Acute Health Hazard Corrosion rs that pesticide toxicity determines its efficacy (“the rs that influence pesticide performance are: choosing e of application, water quality, temperature, and more ance, some insecticides will only be effective on very he gusano cogollero o control gusano cogollero (gusano cogollero) has been reported in of use prevailing in these countries, HHPs pose great 06 and again in 2013 to assist member countries in cides icide Management under article 7.5 stipulates that e and purchase of highly hazardous pesticides may be ation measures or good marketing practices are insufficient ut unacceptable risk to humans and the environment nce on Chemicals Management (ICCM4) in 2015 called us pesticides (resolution SAICM/ICCM.4/15) ghly Hazardous Pesticides in 2017 to provide criteria for s and guidance on risk mitigation",https://openknowledge.fao.org/bitstreams/c43afcac-6262-4152-afd4-70cd4ac46584/download
